Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298530421,,,,,0.006985093932598829,,,,,,,
1771298530493,,,,0,,,,,,,,
1771298530514,,,,,,,0,,,,,
1771298530536,,,,,,0,,,,,,
1771298530558,,,,,,,,,0,,,
1771298530579,,,,,,,,-0.020544392988085747,,,,
1771298530597,,,,,,,,,,,-89.15657806396484,
1771298530638,,,,,,,,,,3.040293040293038,,
1771298530656,39.01098901098898,,,,,,,,,,,
1771298530677,,,,,,,,,,,,0
1771298530693,,,0,,,,,,,,,
1771298530716,,0.11313112080097198,,,,,,,,,,
1771298530737,,,,,0.040267009288072586,,,,,,,
1771298530757,,,,0,,,,,,,,
1771298530775,,,,,,,0,,,,,
1771298530818,,,,,,0,,,,,,
1771298530841,,,,,,,,,0,,,
